carrera,conductor,inicio_carrera,fin_carrera,precio_total
1,Nathaly,2024-03-13 03:05:33,2024-03-13 03:20:03,17.4
2,Angel,2024-02-23 02:44:26,2024-02-23 03:12:04,33.16
3,Jorge,2024-03-11 20:16:00,2024-03-11 20:44:12,33.84
4,Jorge,2024-06-15 05:02:27,2024-06-15 05:36:15,40.56
5,Carolina,2024-05-21 07:50:51,2024-05-21 08:18:48,33.54
6,Angel,2024-04-03 20:57:53,2024-04-03 21:11:46,16.66
7,Sergio,2024-05-24 03:16:19,2024-05-24 03:25:52,11.46
8,Nathaly,2024-06-01 16:03:25,2024-06-01 16:17:06,16.42
9,Angel,2024-06-11 00:46:25,2024-06-11 01:06:55,24.6
10,Angel,2024-05-05 14:53:28,2024-05-05 15:15:59,27.02
11,Jorge,2024-05-19 02:56:54,2024-05-19 03:13:03,19.38
12,Jorge,2024-02-03 05:27:16,2024-02-03 06:02:57,42.82
13,Angel,2024-03-27 00:25:36,2024-03-27 00:36:28,13.04
14,Sergio,2024-06-23 11:58:44,2024-06-23 12:31:13,38.98
15,Sergio,2024-03-23 04:41:21,2024-03-23 05:02:26,25.3
16,Angel,2024-05-04 13:42:04,2024-05-04 14:06:01,28.74
17,Angel,2024-01-15 11:10:34,2024-01-15 11:25:12,17.56
18,Angel,2024-05-25 03:40:02,2024-05-25 04:05:40,30.76
19,Angel,2024-06-21 02:57:55,2024-06-21 03:14:16,19.62
20,Sergio,2024-03-11 17:18:30,2024-03-11 17:32:20,16.6
21,Jorge,2024-04-28 14:43:18,2024-04-28 15:18:17,41.98
22,Jorge,2024-04-14 13:54:10,2024-04-14 14:03:15,10.9
23,Carolina,2024-02-11 21:09:56,2024-02-11 21:25:16,18.4
24,Jorge,2024-04-14 22:28:46,2024-04-14 22:35:26,8.0
25,Carolina,2024-04-08 09:53:07,2024-04-08 10:25:48,39.22
26,Carolina,2024-01-10 20:15:24,2024-01-10 20:25:14,11.8
27,Nathaly,2024-06-20 07:36:53,2024-06-20 08:01:03,29.0
28,Carolina,2024-03-02 05:17:32,2024-03-02 05:40:05,27.06
29,Angel,2024-05-06 04:04:23,2024-05-06 04:43:35,47.04
30,Jorge,2024-01-28 17:32:28,2024-01-28 17:49:02,19.88
31,Jorge,2024-06-14 18:03:38,2024-06-14 18:25:32,26.28
32,Carolina,2024-03-15 21:20:39,2024-03-15 21:54:22,40.46
33,Angel,2024-05-13 08:47:45,2024-05-13 09:19:43,38.36
34,Sergio,2024-01-14 18:37:41,2024-01-14 18:51:27,16.52
35,Angel,2024-05-08 20:00:07,2024-05-08 20:25:55,30.96
36,Jorge,2024-04-24 19:43:45,2024-04-24 19:59:33,18.96
37,Jorge,2024-02-15 11:58:02,2024-02-15 12:11:50,16.56
38,Jorge,2024-02-29 19:34:04,2024-02-29 20:13:06,46.84
39,Carolina,2024-05-03 05:17:59,2024-05-03 05:51:13,39.88
40,Carolina,2024-03-21 16:58:10,2024-03-21 17:15:00,20.2
41,Jorge,2024-02-21 15:34:44,2024-02-21 16:10:37,43.06
42,Sergio,2024-04-30 17:19:57,2024-04-30 17:39:43,23.72
43,Sergio,2024-06-23 04:13:32,2024-06-23 04:50:14,44.04
44,Carolina,2024-05-09 10:57:18,2024-05-09 11:25:10,33.44
45,Sergio,2024-03-19 02:19:53,2024-03-19 02:54:30,41.54
46,Nathaly,2024-05-04 03:50:33,2024-05-04 04:26:45,43.44
47,Angel,2024-05-22 11:13:57,2024-05-22 11:20:55,8.36
48,Angel,2024-06-01 04:34:30,2024-06-01 04:44:13,11.66
